type,date,Alpha,Delta,Sigma
val1,6/15/2015,11,95,190
val1,6/16/2015,12,95,170
val1,6/17/2015,12,93,210
val1,6/18/2015,18,86,180
val1,6/19/2015,18,85,250
val1,6/20/2015,21,80,215
val1,6/21/2015,27,75,240
val2,6/15/2015,28,75,43
val2,6/16/2015,29,70,50
val2,6/17/2015,30,65,36
val2,6/18/2015,47,60,42
val2,6/19/2015,56,50,55
val2,6/20/2015,76,48,40
val2,6/21/2015,85,45,55
val3,6/15/2015,90,45,80
val3,6/16/2015,90,43,90
val3,6/17/2015,95,40,75
val3,6/18/2015,95,37,104
val3,6/19/2015,102,32,75
val3,6/20/2015,105,32,80
val3,6/21/2015,108,31,70
val4,6/15/2015,110,30,106
val4,6/16/2015,110,30,133
val4,6/17/2015,115,30,87
val4,6/18/2015,120,25,140
val4,6/19/2015,143,25,116
val4,6/20/2015,155,22,164
val4,6/21/2015,185,14,141
